"Site Visit","Kundeneinsatz"
"Site Visits","Kundeneinsätze"
"Site Visit Photo","Kundeneinsatz-Foto"
"Site Visit Report","Einsatzbericht"
"Photo","Foto"
"Caption","Beschriftung"
"Duration","Zeitraum"
"Work Performed","Tätigkeit"
"Photos","Fotos"
"Customer Signature","Kundenunterschrift"
"Signee Name","Name des Unterzeichners"
"Billing","Abrechnung"
"Time","Zeit"
"Customer Confirmation","Kundenbestätigung"
"Signed by","Unterschrieben von"
"No signature captured","Keine Unterschrift erfasst"
"No customer signature captured yet.","Noch keine Kundenunterschrift erfasst."
"Open Timesheet","Zeitblatt öffnen"
"End time must be after the start time.","Das Ende muss nach dem Beginn liegen."
"This time range overlaps an existing time entry for {0}.","Dieser Zeitraum überschneidet sich mit einer bereits erfassten Zeitbuchung für {0}."
"Overlapping Time","Zeitüberschneidung"
"Timesheet {0} created and submitted.","Zeitblatt {0} wurde angelegt und gebucht."
"Timesheet {0} was already invoiced on {1} and can no longer be cancelled.","Zeitblatt {0} wurde bereits in {1} in Rechnung gestellt und kann nicht mehr storniert werden."
"Additional Items","Zusätzliche Artikel"
"Customer Reference","Kundenreferenz"
"Please select a Customer first.","Bitte zuerst einen Kunden auswählen."
"Please select a Customer before submitting.","Bitte vor dem Buchen einen Kunden auswählen."
"Please select an Activity Type before submitting.","Bitte vor dem Buchen eine Aktivitätsart auswählen."
"Please select a Project before submitting.","Bitte vor dem Buchen ein Projekt auswählen."
"Please select a Sales Order, or check ""Create Sales Order"", before submitting.","Bitte vor dem Buchen einen Auftrag auswählen oder ""Create Sales Order"" ankreuzen."
"Please enter an end time before submitting.","Bitte vor dem Buchen eine Endzeit eintragen."
"Start Timer","Timer starten"
"Stop Timer","Timer stoppen"
"Timer running: {0}","Timer läuft: {0}"
"Must be set before submitting - not required yet when saving as a draft (e.g. via the timer)","Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich"
"Defaults to the default Company if left empty (see validate() in site_visit.py)","Wird automatisch mit der Standard-Firma vorbelegt, falls leer (siehe validate() in site_visit.py)"
"Must be set before submitting - not required yet when saving as a draft (e.g. via the timer). If there isn't one yet, check ""Create Sales Order"" below instead of picking one here.","Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich. Gibt es noch keinen, unten ""Create Sales Order"" ankreuzen, statt hier einen auszuwählen."
"Creates and links a new Sales Order when this Site Visit is submitted, with the worked time (as the Activity Type's Dienstleistungsartikel) and any Additional Items as positions - instead of picking an existing Sales Order above.","Legt beim Buchen dieses Site Visit automatisch einen neuen Auftrag an und verknüpft ihn - mit der gearbeiteten Zeit (als Dienstleistungsartikel der Aktivitätsart) und eventuellen Zusatzartikeln als Positionen - statt oben einen bestehenden Auftrag auszuwählen."
"Used as the new Sales Order's Customer's Purchase Order reference (po_no).","Wird als Kundenreferenz (po_no) des neuen Auftrags verwendet."
"Create Sales Order","Auftrag automatisch anlegen"
"Sales Order {0} created and linked.","Auftrag {0} wurde angelegt und verknüpft."
"Activity Type {0} has no Dienstleistungsartikel configured - required to create a Sales Order automatically.","Für Aktivitätsart {0} ist kein Dienstleistungsartikel hinterlegt - dieser ist nötig, um automatisch einen Auftrag anzulegen."
"No price found for {0}, and Activity Type {1} has no Default Billing Rate set.","Für {0} wurde kein Preis gefunden, und Aktivitätsart {1} hat keinen Standard-Stundensatz hinterlegt."
"No price found for {0} - required to bill mileage.","Für {0} wurde kein Preis gefunden - Kilometer können ohne Preis nicht abgerechnet werden."
"Controls the billing rate in the automatically created Timesheet. Must be set before submitting - not required yet when saving as a draft (e.g. via the timer).","Steuert die Abrechnungsart im automatisch erzeugten Zeitblatt. Muss vor dem Buchen gesetzt sein - beim Speichern als Entwurf (z. B. per Timer) noch nicht erforderlich."
"Breaks","Pausen"
"Paused At","Pausiert um"
"Resumed At","Fortgesetzt um"
"Reason","Grund"
"Note","Notiz"
"Break","Pause"
"Other Customer (Emergency)","Anderer Kunde (Notfall)"
"Other","Sonstiges"
"Pause Timer","Timer pausieren"
"Resume Timer","Timer fortsetzen"
"Pause","Pausieren"
"Timer paused ({0}) - worked so far: {1}","Timer pausiert ({0}) - bisher gearbeitet: {1}"
"Please resume the timer before submitting.","Bitte den Timer vor dem Buchen fortsetzen."
"A break must lie within the visit's start and end time.","Eine Pause muss innerhalb von Beginn und Ende des Einsatzes liegen."
"A break's end time must be after its start time.","Das Ende einer Pause muss nach ihrem Beginn liegen."
"Breaks must not overlap each other.","Pausen duerfen sich nicht ueberschneiden."
"Empty while the pause is still ongoing - set by ""Resume Timer"".","Waehrend die Pause noch laeuft leer - wird durch ""Timer fortsetzen"" gesetzt."
"Pauses during the visit (break, or an emergency at another customer) - excluded from the billed working time. Filled via ""Pause Timer""/""Resume Timer"", not required.","Pausen waehrend des Einsatzes (Pause oder Notfall bei einem anderen Kunden) - werden nicht als Arbeitszeit abgerechnet. Wird ueber ""Timer pausieren""/""Timer fortsetzen"" befuellt, nicht Pflicht."
"Not required - if empty, the automatically created Timesheet is created without an Employee (ERPNext's own Timesheet doctype does not require one either).","Nicht Pflicht - bleibt es leer, wird das automatisch erzeugte Zeitblatt ohne Mitarbeiter angelegt (auch ERPNexts eigene Zeitblatt-Doctype verlangt keinen)."
"Remote & Mileage","Fernarbeit & Kilometer"
"Remote Visit","Fernarbeit"
"No physical visit took place - controls what happens with the signature (see Site Visit Settings).","Es fand kein Vor-Ort-Termin statt - steuert, was mit der Unterschrift passiert (siehe Site Visit Settings)."
"Different Start Location","Abweichender Startort"
"Check this to enter a Start Address below when not starting from the Default Start Address (Site Visit Settings) or the Company's default address for this visit - e.g. driving in from home or straight from the previous customer.","Anhaken, um unten eine Startadresse einzutragen, wenn dieser Einsatz nicht von der Default Start Address (Site Visit Settings) bzw. der Standardadresse der Firma aus startet - z. B. Anfahrt von zuhause oder direkt vom vorherigen Kunden."
"Start Address","Startadresse"
"Free-text address, no Address record required - search-as-you-type via OpenStreetMap. Overrides the default mileage start point (Site Visit Settings, or the Company's default address) for this visit only.","Freitext-Adresse, kein Address-Datensatz noetig - Sofortsuche waehrend der Eingabe ueber OpenStreetMap. Ueberschreibt den Standard-Startpunkt fuer die Kilometerberechnung (Site Visit Settings bzw. die Standardadresse der Firma) nur fuer diesen Einsatz."
"Don't Use Customer's Default Address","Kundenstandard-Adresse nicht verwenden"
"Do not fall back to the customer's default address on file for mileage - e.g. because it is known to be wrong for this visit. Check this to enter a Customer Site Address below; without one, mileage cannot be calculated.","Verwendet fuer die Kilometerberechnung nicht die hinterlegte Standardadresse des Kunden - z. B. weil diese fuer diesen Einsatz bekanntermassen falsch ist. Anhaken, um unten eine Kundenstandort-Adresse einzutragen; ohne diese laesst sich dann keine Kilometerzahl berechnen."
"Customer Site Address","Kundenstandort"
"Free-text address, no Address record required. Overrides the customer's default address on file for this visit only - e.g. a remote office or a different site of the customer.","Freitext-Adresse, kein Address-Datensatz noetig. Ueberschreibt die hinterlegte Standardadresse des Kunden nur fuer diesen Einsatz - z. B. eine Aussenstelle oder ein anderer Standort des Kunden."
"Distance (km)","Entfernung (km)"
"One-way driving distance to the customer's address, via the ""Calculate Mileage"" button (requires an OpenRouteService API key in Site Visit Settings).","Einfache Fahrstrecke zur Kundenadresse, ueber den Knopf ""Kilometer berechnen"" (benoetigt einen OpenRouteService-API-Key in den Site Visit Settings)."
"Signing Link Sent At","Signaturlink gesendet am"
"Set when ""Send Signing Link"" was last used - the link stays valid for 30 days from this date.","Wird beim letzten Versand ueber ""Send Signing Link"" gesetzt - der Link bleibt ab diesem Datum 30 Tage gueltig."
"Calculate Mileage","Kilometer berechnen"
"Distance: {0} km","Entfernung: {0} km"
"Send Signing Link","Signaturlink senden"
"Sending...","Wird gesendet ..."
"Signing link sent.","Signaturlink wurde gesendet."
"Signing link sent on {0}, not yet signed.","Signaturlink gesendet am {0}, noch nicht unterschrieben."
"Calculating...","Wird berechnet ..."
"Select Sales Order","Auftrag auswaehlen"
"This Project has multiple Sales Orders - please pick one","Dieses Projekt hat mehrere Auftraege - bitte einen auswaehlen"
"Please capture the customer's signature before submitting.","Bitte vor dem Buchen die Unterschrift des Kunden erfassen."
"No OpenRouteService API key configured. Set one in Site Visit Settings.","Kein OpenRouteService-API-Key hinterlegt. Bitte in den Site Visit Settings eintragen."
"No start address found. Set a Start Address on the Site Visit, a Default Start Address in Site Visit Settings, or a default address on the Company.","Keine Startadresse gefunden. Bitte eine Startadresse am Site Visit, eine Standard-Startadresse in den Site Visit Settings oder eine Standardadresse an der Firma hinterlegen."
"Customer {0} has no address on file. Set a Customer Site Address on the Site Visit instead.","Fuer Kunde {0} ist keine Adresse hinterlegt. Bitte stattdessen einen Kundenstandort am Site Visit eintragen."
"Could not find coordinates for address {0}.","Fuer die Adresse {0} konnten keine Koordinaten gefunden werden."
"OpenRouteService did not return a route between the two addresses.","OpenRouteService hat keine Route zwischen den beiden Adressen geliefert."
"OpenRouteService request failed: {0}","OpenRouteService-Anfrage fehlgeschlagen: {0}"
"Customer {0} has no email address on file.","Fuer Kunde {0} ist keine E-Mail-Adresse hinterlegt."
"Please sign your service visit: {0}","Bitte unterschreiben Sie Ihren Serviceeinsatz: {0}"
"Please open the link below to review and sign your service visit report:<br><br><a href=""{0}"">{0}</a><br><br>This link is valid for {1} days.","Bitte oeffnen Sie den folgenden Link, um Ihren Einsatzbericht anzusehen und zu unterschreiben:<br><br><a href=""{0}"">{0}</a><br><br>Dieser Link ist {1} Tage gueltig."
"Invalid or expired signing link.","Ungueltiger oder abgelaufener Signaturlink."
"This signing link has expired. Please ask for a new one.","Dieser Signaturlink ist abgelaufen. Bitte einen neuen anfordern."
"This Site Visit has already been submitted.","Dieser Site Visit wurde bereits gebucht."
"This Site Visit has already been signed.","Dieser Site Visit wurde bereits unterschrieben."
"Please provide a signature.","Bitte eine Unterschrift angeben."
"Sign Service Visit","Serviceeinsatz unterschreiben"
"Your name","Ihr Name"
"Signature","Unterschrift"
"Clear","Loeschen"
"Submit signature","Unterschrift absenden"
"Please sign above first.","Bitte zuerst oben unterschreiben."
"Thank you, your signature has been saved.","Vielen Dank, Ihre Unterschrift wurde gespeichert."
"Something went wrong, please try again.","Etwas ist schiefgelaufen, bitte erneut versuchen."
"Mileage","Kilometer"
"OpenRouteService API Key","OpenRouteService-API-Key"
"Free API key from openrouteservice.org, used to calculate the driving distance for a Site Visit.","Kostenloser API-Key von openrouteservice.org, wird zur Berechnung der Fahrstrecke fuer einen Site Visit verwendet."
"Default Start Address","Standard-Startadresse"
"Free-text address, no Address record required - search-as-you-type via OpenStreetMap. Used as the mileage start point when a Site Visit does not set its own Start Address. Leave empty to use the Company's own default address instead.","Freitext-Adresse, kein Address-Datensatz noetig - Sofortsuche waehrend der Eingabe ueber OpenStreetMap. Wird als Startpunkt fuer die Kilometerberechnung verwendet, wenn der Site Visit keine eigene Startadresse hat. Leer lassen, um stattdessen die Standardadresse der Firma zu verwenden."
"Excluded Item Groups","Ausgeschlossene Artikelgruppen"
"Items from these Item Groups (and their sub-groups) cannot be added as an Additional Item on a Site Visit - everything else is allowed. In most cases, excluding your services/labor group(s) here is enough. Leave empty for no restriction.","Artikel aus diesen Artikelgruppen (und ihren Untergruppen) koennen nicht als Zusatzartikel an einem Site Visit hinzugefuegt werden - alles andere ist erlaubt. In den meisten Faellen reicht es, hier die Dienstleistungs-Artikelgruppe(n) auszuschliessen. Leer lassen fuer keine Einschraenkung."
"Remote Visits","Fernarbeit"
"Remote Visit Mode","Fernarbeit-Modus"
"What happens for a Site Visit marked as remote: either the signature fields are hidden, or the customer gets an emailed link to sign it themselves.","Legt fest, was bei einem als Fernarbeit markierten Site Visit passiert: entweder werden die Unterschriftsfelder ausgeblendet, oder der Kunde bekommt per E-Mail einen Link, um selbst zu unterschreiben."
"Hide Signature","Unterschrift ausblenden"
"Send Signing Link to Customer","Link zum Unterzeichnen an Kunden senden"
"Signature Required","Unterschrift Pflicht"
"If set, a Site Visit cannot be submitted without a signature (in-person or, for remote visits in ""Send Signing Link"" mode, via the emailed link) unless it is a remote visit in ""Hide Signature"" mode.","Ist dieser Haken gesetzt, kann ein Site Visit nicht ohne Unterschrift gebucht werden (persoenlich oder, bei Fernarbeit im Modus ""Link zum Unterzeichnen"", ueber den per E-Mail versendeten Link) - ausser bei Fernarbeit im Modus ""Unterschrift ausblenden""."
"Scheduled Appointment","Geplanter Termin"
"Scheduled Start","Geplanter Beginn"
"Scheduled End","Geplantes Ende"
